source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84963955102,10.1016/j.bulcan.2016.01.014,2016,,Butori C.|Long E.|Ilie M.|Washetine K.|Lalve S.|Hofman V.|Hofman P.|Lassalle S.
SCOPUS_ID:84964026753,10.1038/scientificamerican0516-28,2016,,Morbidelli A.
SCOPUS_ID:84964199928,10.1016/j.arcped.2016.03.019,2016,Giovannini-Chami L.|UCA (affiliation),Giovannini-Chami L.|Albertini M.
SCOPUS_ID:84964311275,10.1016/j.clnu.2016.04.009,2016,,Schneider S.M.
SCOPUS_ID:84964335227,10.1007/s13199-016-0406-y,2016,,Dani V.|Sabourault C.|Priouzeau F.|Carette D.|Pagnotta S.|Laugier J.P.
SCOPUS_ID:84964389432,10.1007/s00345-016-1826-2,2017,,Mbeutcha A.
SCOPUS_ID:84964426844,10.1007/s11207-016-0890-5,2016,,Rozelot J.P.|Rozelot J.P.
SCOPUS_ID:84964445505,10.1002/mop.29852,2016,,Cosker M.|Ribero J.M.|Staraj R.
SCOPUS_ID:84964510403,10.1080/09639489.2016.1153459,2016,Gautero J.L.|UCA (affiliation),Gautero J.L.
SCOPUS_ID:84964529077,10.1093/brain/awv368,2016,,Lacas-Gervais S.|Ait-El-Mkadem S.|Chaussenot A.|Rouzier C.|Augé G.|Lespinasse F.|Berg-Alonso L.|Paquis-Flucklinger V.|Genin E.C.|Fragaki K.|Bannwarth S.
SCOPUS_ID:84964643205,10.1142/S0218271816500668,2016,Stahl C.|UCA (affiliation),Stahl C.
SCOPUS_ID:84964671780,10.1172/JCI84518,2016,,Ivanov S.
SCOPUS_ID:84964686876,10.1016/j.tcs.2015.12.012,2016,,Mitsche D.
SCOPUS_ID:84964875114,10.1016/j.jpeds.2016.03.070,2016,,Giovannini-Chami L.|Albertini M.
SCOPUS_ID:84965029366,10.1080/08869634.2016.1149291,2017,,Ehrmann E.
SCOPUS_ID:84965031446,10.1186/s13059-016-0952-x,2016,,Bertacchi M.
SCOPUS_ID:84965045962,10.1016/j.nut.2016.01.019,2016,,Schneider S.M.
SCOPUS_ID:84965107710,10.4267/2042/58977,2016,,Delanoy G.
SCOPUS_ID:84966349526,10.1093/schbul/sbw002,2016,,Benoit M.
SCOPUS_ID:84966378462,10.1093/ecco-jcc/jjv224,2016,,Hébuterne X.
SCOPUS_ID:84966668204,10.1177/0957155815616588,2016,Béru L.|UCA (affiliation),Béru L.
SCOPUS_ID:84968756915,10.1109/TSP.2016.2518991,2016,,Ferrari A.|Nassif R.|Richard C.
SCOPUS_ID:84969165516,10.5220/0005699100850095,2016,,Cabrio E.|Villata S.
SCOPUS_ID:84969211479,10.3917/etr.0911.0057,2016,Assaël J.|UCA (affiliation),Assaël J.
SCOPUS_ID:84969523612,10.1016/j.eurger.2016.04.012,2016,,Breuil V.
SCOPUS_ID:84969567919,10.1109/HMI.2016.7449159,2016,,Mallet F.
SCOPUS_ID:84969922547,10.1016/j.cgh.2016.02.016,2016,,Filippi J.
SCOPUS_ID:84970006641,10.1097/DAD.0000000000000579,2017,,Ambrosetti D.|Perrin C.|Patouraux S.
SCOPUS_ID:84970967337,10.3917/lhs.197.0031,2016,Brisset N.|UCA (affiliation),Brisset N.
SCOPUS_ID:84971425350,10.1590/S1516-14982016002008,2016,Vinot F.|UCA (affiliation),Vinot F.
SCOPUS_ID:84971504930,10.18632/oncotarget.8458,2016,,Butori C.|Bordone O.|Bonnetaud C.|Santini J.|Guevara N.|Peyrottes I.|Ilie M.|Zangari J.|Hénaoui I.S.|Popa A.|Bozec A.|Long E.|Lassalle S.|Brest P.|Barbry P.|Hofman V.|Mari B.|Hofman P.
SCOPUS_ID:84971569628,10.1136/thoraxjnl-2016-208407,2016,Giovannini-Chami L.|UCA (affiliation),Giovannini-Chami L.|Albertini M.
SCOPUS_ID:84971579023,10.1145/2901318.2901326,2016,,Lozi J.P.
SCOPUS_ID:84971592141,10.1111/bju.13523,2017,,Amiel J.|Durand M.|Donzeau D.
SCOPUS_ID:84971622059,10.1016/j.actaastro.2016.05.009,2016,,Michel P.|Schwartz S.R.
SCOPUS_ID:84973345864,10.1109/ICASSP.2016.7472545,2016,,Ferrari A.|Nassif R.|Richard C.
SCOPUS_ID:84973456385,10.1159/000442158,2016,,Tulic M.K.
SCOPUS_ID:84973457826,10.1016/j.gmod.2016.05.003,2016,,Zhang J.|Galligo A.
SCOPUS_ID:84973638158,10.1002/eji.201546143,2016,,Mahiddine K.|Bziouech H.|Bernard A.|Larbret F.|Bernard G.|Mallavialle A.
SCOPUS_ID:84974808333,10.1051/0004-6361/201525769,2016,,Faurobert M.|Faurobert M.
SCOPUS_ID:84974828476,10.1108/IJBM-11-2014-0170,2016,,Aliouat B.
